crop_name,Latitude,Longitude,status,source_db,database_id
triticum_turgidum,35.93333333,2.65,G,USDA,USDA_177
triticum_turgidum,35.93333333,2.65,G,USDA,USDA_178
triticum_turgidum,35.93333333,2.65,G,USDA,USDA_179
triticum_turgidum,35.96666667,2.98333333,G,USDA,USDA_180
triticum_turgidum,35.96666667,2.98333333,G,USDA,USDA_181
triticum_turgidum,35.96666667,2.98333333,G,USDA,USDA_182
triticum_turgidum,36.21666667,2.91666667,G,USDA,USDA_183
triticum_turgidum,36.23333333,2.95,G,USDA,USDA_184
triticum_turgidum,36.25,2.96666667,G,USDA,USDA_185
triticum_turgidum,34.23333333,2.46666667,G,USDA,USDA_186
triticum_turgidum,34.21666667,2.38333333,G,USDA,USDA_187
triticum_turgidum,34.2,2.26666667,G,USDA,USDA_188
triticum_turgidum,34.03333333,2.01666667,G,USDA,USDA_189
triticum_turgidum,34.48333333,3.25,G,USDA,USDA_190
triticum_turgidum,34.6,3.23333333,G,USDA,USDA_191
triticum_turgidum,34.73333333,3.18333333,G,USDA,USDA_192
triticum_turgidum,34.8,3.11666667,G,USDA,USDA_193
triticum_turgidum,34.88333333,3.48333333,G,USDA,USDA_194
triticum_turgidum,34.9,3.5,G,USDA,USDA_195
triticum_turgidum,34.7,5.1,G,USDA,USDA_197
triticum_turgidum,43.36666667,-5.83333333,G,USDA,USDA_200
triticum_turgidum,43.36666667,-5.83333333,G,USDA,USDA_201
triticum_turgidum,43.36666667,-5.83333333,G,USDA,USDA_202
triticum_turgidum,43.36666667,-5.83333333,G,USDA,USDA_203
triticum_turgidum,43.36666667,-5.83333333,G,USDA,USDA_204
triticum_turgidum,43.21666667,-6.0333333,G,USDA,USDA_205
triticum_turgidum,43.1,-5.8,G,USDA,USDA_249
triticum_turgidum,43.38333333,-6.06666667,G,USDA,USDA_259
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_260
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_261
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_262
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_263
triticum_turgidum,39.96666667,-1.9,G,USDA,USDA_264
triticum_turgidum,43.1,-6.25,G,USDA,USDA_265
triticum_turgidum,43.1,-5.8,G,USDA,USDA_268
triticum_turgidum,43.4,-6.26666667,G,USDA,USDA_269
triticum_turgidum,43.1,-6.25,G,USDA,USDA_272
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_273
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_274
triticum_turgidum,43.35,-6.01666667,G,USDA,USDA_275
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_276
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_277
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_278
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_279
